DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20190101,2019-01-01,Tue,January,Jan,1,1,2019
20190102,2019-01-02,Wed,January,Jan,1,1,2019
20190103,2019-01-03,Thu,January,Jan,1,1,2019
20190104,2019-01-04,Fri,January,Jan,1,1,2019
20190105,2019-01-05,Sat,January,Jan,1,1,2019
20190106,2019-01-06,Sun,January,Jan,1,1,2019
20190107,2019-01-07,Mon,January,Jan,1,1,2019
20190108,2019-01-08,Tue,January,Jan,1,1,2019
20190109,2019-01-09,Wed,January,Jan,1,1,2019
20190110,2019-01-10,Thu,January,Jan,1,1,2019
20190111,2019-01-11,Fri,January,Jan,1,1,2019
20190112,2019-01-12,Sat,January,Jan,1,1,2019
20190113,2019-01-13,Sun,January,Jan,1,1,2019
20190114,2019-01-14,Mon,January,Jan,1,1,2019
20190115,2019-01-15,Tue,January,Jan,1,1,2019
20190116,2019-01-16,Wed,January,Jan,1,1,2019
20190117,2019-01-17,Thu,January,Jan,1,1,2019
20190118,2019-01-18,Fri,January,Jan,1,1,2019
20190119,2019-01-19,Sat,January,Jan,1,1,2019
20190120,2019-01-20,Sun,January,Jan,1,1,2019
20190121,2019-01-21,Mon,January,Jan,1,1,2019
20190122,2019-01-22,Tue,January,Jan,1,1,2019
20190123,2019-01-23,Wed,January,Jan,1,1,2019
20190124,2019-01-24,Thu,January,Jan,1,1,2019
20190125,2019-01-25,Fri,January,Jan,1,1,2019
20190126,2019-01-26,Sat,January,Jan,1,1,2019
20190127,2019-01-27,Sun,January,Jan,1,1,2019
20190128,2019-01-28,Mon,January,Jan,1,1,2019
20190129,2019-01-29,Tue,January,Jan,1,1,2019
20190130,2019-01-30,Wed,January,Jan,1,1,2019
20190131,2019-01-31,Thu,January,Jan,1,1,2019
20190201,2019-02-01,Fri,February,Feb,2,1,2019
20190202,2019-02-02,Sat,February,Feb,2,1,2019
20190203,2019-02-03,Sun,February,Feb,2,1,2019
20190204,2019-02-04,Mon,February,Feb,2,1,2019
20190205,2019-02-05,Tue,February,Feb,2,1,2019
20190206,2019-02-06,Wed,February,Feb,2,1,2019
20190207,2019-02-07,Thu,February,Feb,2,1,2019
20190208,2019-02-08,Fri,February,Feb,2,1,2019
20190209,2019-02-09,Sat,February,Feb,2,1,2019
20190210,2019-02-10,Sun,February,Feb,2,1,2019
20190211,2019-02-11,Mon,February,Feb,2,1,2019
20190212,2019-02-12,Tue,February,Feb,2,1,2019
20190213,2019-02-13,Wed,February,Feb,2,1,2019
20190214,2019-02-14,Thu,February,Feb,2,1,2019
20190215,2019-02-15,Fri,February,Feb,2,1,2019
20190216,2019-02-16,Sat,February,Feb,2,1,2019
20190217,2019-02-17,Sun,February,Feb,2,1,2019
20190218,2019-02-18,Mon,February,Feb,2,1,2019
20190219,2019-02-19,Tue,February,Feb,2,1,2019
20190220,2019-02-20,Wed,February,Feb,2,1,2019
20190221,2019-02-21,Thu,February,Feb,2,1,2019
20190222,2019-02-22,Fri,February,Feb,2,1,2019
20190223,2019-02-23,Sat,February,Feb,2,1,2019
20190224,2019-02-24,Sun,February,Feb,2,1,2019
20190225,2019-02-25,Mon,February,Feb,2,1,2019
20190226,2019-02-26,Tue,February,Feb,2,1,2019
20190227,2019-02-27,Wed,February,Feb,2,1,2019
20190228,2019-02-28,Thu,February,Feb,2,1,2019
